,period,product_name,product_sku,net_sales,gross_margin
75,30,FOLKART ZINC HEART CHRISTMAS DEC,#sku_890,1182.17,31.73
76,30,SET/4 SPRING FLOWER DECORATION,#sku_2370,1233.47,45.0
77,30,RED RETROSPOT UMBRELLA,#sku_158,1405.98,19.76
78,30,WOODLAND  HEIGHT CHART STICKERS ,#sku_1019,1876.58,13.19
79,30,ENAMEL COLANDER CREAM,#sku_1229,2936.5,11.68
80,30,MIDNIGHT BLUE GLASS/SILVER BRACELET,#sku_1819,3458.58,15.96
81,30,PACK 20 ENGLISH ROSE PAPER NAPKINS,#sku_1277,4804.83,39.79
82,30,PINK OWL SOFT TOY,#sku_1527,6018.8,27.44
83,30,SET OF 16 VINTAGE RED CUTLERY,#sku_2217,7814.15,14.59
84,30,BEADED CRYSTAL HEART BLUE  LARGE,#sku_2908,11511.51,22.38
85,30,PARLOUR CERAMIC WALL HOOK,#sku_3256,35733.63,20.24
86,30,TV DINNER TRAY AIR HOSTESS ,#sku_847,0.0,2.37
87,30,SET OF 6 VINTAGE NOTELETS KIT,#sku_919,187.0,24.6
88,30,HEART OF WICKER LARGE,#sku_129,21693.99,16.35
89,30,GLASS CHALICE GREEN  SMALL ,#sku_2007,5502.35,2.07
90,30,RECYCLED ACAPULCO MAT LAVENDER,#sku_3094,2601.98,28.75
91,30,GREEN WIRE STANDING CANDLE HOLDER,#sku_2503,1793.52,30.03
92,30,PLACE SETTING WHITE STAR,#sku_477,1751.72,13.5
93,30,GOLD WINE GOBLET,#sku_3262,1511.41,32.65
94,30,DAIRY MAID LARGE MILK JUG,#sku_2063,1332.43,-8.98
95,30,LARGE PURPLE BABUSHKA NOTEBOOK  ,#sku_868,1257.31,11.82
96,30,MAGIC GARDEN FELT GARLAND ,#sku_1215,944.07,23.25
97,30,WOODEN PICTURE FRAME WHITE FINISH,#sku_55,932.01,19.26
98,30,RED 3 PIECE RETROSPOT CUTLERY SET,#sku_64,732.95,31.39
99,30,LARGE HEART MEASURING SPOONS,#sku_163,710.03,21.02
100,30,CHILDS GARDEN FORK PINK,#sku_2054,593.8,41.3
101,30,SET OF 6 T-LIGHTS SNOWMEN,#sku_251,368.05,19.24
102,30,RIDGED BONNE JAM JAR T-LIGHT HOLDER,#sku_3596,326.87,25.9
103,30,CONGRATULATIONS BUNTING,#sku_2794,314.41,19.14
104,30,OWL DOORSTOP,#sku_357,294.88,2.09
105,30,BEADED CRYSTAL HEART GREEN LARGE,#sku_2240,238.48,26.82
106,30,3D TRADITIONAL CHRISTMAS STICKERS,#sku_1404,203.5,29.11
107,30,ALARM CLOCK BAKELIKE PINK,#sku_27,172.03,4.75
108,30,PAINTED LIGHTBULB RAINBOW DESIGN,#sku_2239,119.43,2.17
109,30,POTTERING MUG,#sku_1620,111.01,7.78
110,30,SMALL YELLOW BABUSHKA NOTEBOOK ,#sku_1065,106.89,1.91
111,30,SET/4 RED MINI ROSE CANDLE IN BOWL,#sku_923,76.95,28.16
112,30,PINK STITCHED WALL CLOCK,#sku_1684,-52.93,4.71
113,30,ROSE COLOUR PAIR HEART HAIR SLIDES,#sku_2243,399.15,19.16
114,30,BLACK GLASS/SHELL/PEARL NECKLACE,#sku_3250,473.52,56.39
115,30,SET OF 36 PAISLEY FLOWER DOILIES,#sku_1207,544.8,7.27
116,30,PICTURE DOMINOES,#sku_227,610.63,33.62
117,30,KITTY PENCIL ERASERS,#sku_973,620.31,13.56
118,30,LUNCH BOX WITH CUTLERY FAIRY CAKES ,#sku_2208,654.54,4.07
119,30,DIAMANTE HAIR GRIP PACK/2 BLACK DIA,#sku_488,655.31,26.25
120,30,SET/4 WHITE RETRO STORAGE CUBES ,#sku_2027,686.3,12.45
121,30,SINGLE HEART ZINC T-LIGHT HOLDER,#sku_309,700.24,10.12
122,30,FAWN BLUE HOT WATER BOTTLE,#sku_448,739.27,14.24
123,30,MAKE YOUR OWN MONSOON CARD KIT,#sku_497,749.0,37.03
124,30,WHITE BEADED GARLAND STRING 20LIGHT,#sku_2204,791.56,14.37
125,30,ALARM CLOCK BAKELIKE IVORY,#sku_207,882.34,13.36
126,30,FELTCRAFT HAIRBAND PINK AND BLUE,#sku_1235,18550.47,28.22
127,30,GROW YOUR OWN HERBS SET OF 3,#sku_1605,8755.51,38.73
128,30,NATURAL SLATE HEART CHALKBOARD ,#sku_127,4082.21,31.43
129,30,RED RETROSPOT BUTTER DISH,#sku_1539,3995.5,24.61
130,30,RELAX LARGE WOOD LETTERS,#sku_2008,3560.9,12.68
131,30,SILVER LATTICE VANILLA CANDLE POT,#sku_2127,2815.27,20.23
132,30,WHITE STITCHED CUSHION COVER,#sku_1323,1881.25,13.98
133,30,NUMBER TILE COTTAGE GARDEN 5,#sku_2270,1602.94,29.8
134,30,VINTAGE PAISLEY STATIONERY SET,#sku_501,1593.43,25.59
135,30,GREY HEART HOT WATER BOTTLE,#sku_444,1523.96,10.28
136,30,LARGE CHINESE STYLE SCISSOR,#sku_472,1354.29,0.16
137,30,PURPLE FOXGLOVE ARTIIFCIAL FLOWER,#sku_3002,1238.92,34.3
138,30,GARDEN PATH JOURNAL,#sku_596,1047.3,1.74
139,30,36 DOILIES DOLLY GIRL,#sku_880,879.89,11.12
140,30,ECONOMY LUGGAGE TAG,#sku_1961,848.1,38.06
141,30,BLUE POLKADOT PUDDING BOWL,#sku_1550,615.47,42.88
142,30,PINK MARSHMALLOW SCARF KNITTING KIT,#sku_1124,571.83,17.58
143,30,JUMBO BAG PINK POLKADOT,#sku_60,449.22,17.5
144,30, SET 2 TEA TOWELS I LOVE LONDON ,#sku_41,442.61,23.93
145,30,RED KUKUI COCONUT SEED NECKLACE,#sku_2382,437.2,18.33
146,30,STRAWBERRY   PICNIC BAG,#sku_1804,389.59,7.8
147,30,HAND OPEN SHAPE DECO.WHITE,#sku_1992,359.14,13.27
148,30,PAPER LANTERN 7 POINT SNOW STAR,#sku_3315,352.23,16.04
149,30,BLACK SMALL GLASS CAKE STAND,#sku_2645,336.14,10.84
150,30,FULL ENGLISH BREAKFAST PLATE,#sku_342,247.78,14.29
151,30,ILLUSTRATED CAT BOWL ,#sku_1224,227.85,14.78
152,30,SET OF 3 NOTEBOOKS IN PARCEL,#sku_372,163.0,20.6
153,30,CAKE STAND VICTORIAN FILIGREE LARGE,#sku_1213,154.79,20.44
154,30,LARGE WHITE/PINK ROSE ART FLOWER,#sku_2705,0.0,2.09
155,30,FOLDING UMBRELLA PINKWHITE POLKADOT,#sku_388,5844.63,21.01
156,30,CHILDS GARDEN SPADE PINK,#sku_853,6159.62,25.4
157,30,GRASS HOPPER WOODEN WALL CLOCK ,#sku_1283,7817.1,13.06
158,30,SET 3 WICKER STORAGE BASKETS ,#sku_2561,16538.28,8.36
159,30,POTTERING IN THE SHED METAL SIGN,#sku_1010,-65.51,2.32
160,30,ENAMEL BLUE RIM COFFEE CONTAINER,#sku_1830,71.78,13.38
161,30,PORCELAIN ROSE SMALL,#sku_1346,148.51,29.69
162,30,SET/4 BADGES BEETLES,#sku_2163,221.23,49.09
163,30,IVORY SWEETHEART SOAP DISH,#sku_3285,226.35,27.63
164,30,VINTAGE BILLBOARD LOVE/HATE MUG,#sku_52,354.9,7.2
165,30,POSTAGE,#sku_46,365.37,28.73
166,30,CALENDAR FAMILY FAVOURITES,#sku_2219,409.01,25.97
167,30,3D DOG PICTURE PLAYING CARDS,#sku_538,471.58,28.36
168,30,THREE CANVAS LUGGAGE TAGS,#sku_514,527.66,41.94
169,30,DIAMANTE HAIR GRIP PACK/2 MONTANA,#sku_491,554.31,13.71
170,30,SKULLS WRITING SET ,#sku_526,720.45,13.05
171,30,CANDY SPOT HEART DECORATION,#sku_2454,764.0,27.9
172,30,JAM JAR WITH PINK LID,#sku_165,303.2,7.74
173,30,EMPIRE UNION JACK TV DINNER TRAY,#sku_848,360.56,42.3
174,30,LE GRAND TRAY CHIC SET,#sku_3382,366.27,17.18
175,30,DROP DIAMANTE EARRINGS CRYSTAL,#sku_1313,441.58,14.21
176,30,WRAP GREEN PEARS ,#sku_1532,452.44,46.22
177,30,RAIN PONCHO RETROSPOT,#sku_781,473.19,17.94
178,30,GINGHAM ROSE WRAP,#sku_1480,500.8,2.04
179,30,BLACK GEMSTONE NECKLACE 45CM,#sku_1782,620.51,16.12
180,30,SET OF 16 VINTAGE PISTACHIO CUTLERY,#sku_615,670.26,9.96
181,30,FIRE POLISHED GLASS BRACELET MONTAN,#sku_2384,681.18,23.2
182,30,PINK/YELLOW FLOWERS HANDBAG,#sku_1355,695.67,28.13
183,30,HAIRCLIPS FORTIES FABRIC ASSORTED,#sku_2402,873.45,19.89
184,30,"LETTER ""A"" BLING KEY RING",#sku_1320,981.52,31.67
185,30,SILVER/MOP ORBIT NECKLACE,#sku_2698,1403.16,18.94
186,30,6 EGG HOUSE PAINTED WOOD,#sku_1216,1724.17,17.43
187,30,PIN CUSHION BABUSHKA PINK,#sku_1326,1724.48,26.78
188,30,RED SPOTTY BISCUIT TIN,#sku_970,1923.98,21.57
189,30,FRENCH PAISLEY CUSHION COVER ,#sku_995,2172.59,19.45
190,30,FROSTED WHITE BASE ,#sku_2330,2537.2,36.46
191,30,*Boombox Ipod Classic,#sku_2374,3577.93,19.95
192,30,VICTORIAN  METAL POSTCARD SPRING,#sku_637,4473.04,5.61
193,30,BABY BOOM RIBBONS ,#sku_1493,4492.79,4.81
194,30,RECYCLED ACAPULCO MAT GREEN,#sku_3095,9731.61,21.1
195,30,NECKLACE+BRACELET SET BLUE HIBISCUS,#sku_940,13638.95,17.23
196,30,SET OF 9 BLACK SKULL BALLOONS,#sku_846,87.57,19.92
197,30,RETROSPOT SMALL TUBE MATCHES,#sku_516,110.11,15.4
198,30,LARGE ROUND CUTGLASS CANDLESTICK,#sku_2737,179.21,14.01
199,30,VINTAGE BEAD PINK EVENING BAG,#sku_2199,206.45,19.88
200,30,CRACKED GLAZE EARRINGS BROWN,#sku_2720,247.65,23.22
201,30,YOU'RE CONFUSING ME METAL SIGN ,#sku_91,338.5,25.63
202,30,SMALL GLASS SUNDAE DISH CLEAR,#sku_1997,436.01,44.47
203,30,PAINTED PINK RABBIT ,#sku_2461,451.52,10.32
204,30,4 IVORY DINNER CANDLES SILVER FLOCK,#sku_467,503.62,29.68
205,30,CHILDS GARDEN RAKE PINK,#sku_854,595.22,43.61
206,30,METAL SIGN HIS DINNER IS SERVED,#sku_1765,628.86,14.89
207,30,DOORSTOP FOOTBALL DESIGN,#sku_2257,675.68,17.14
208,30,LARGE ZINC GLASS CANDLEHOLDER,#sku_2984,777.71,19.98
209,30,VINTAGE ROSE BEAD BRACELET BLACK,#sku_1783,798.21,30.74
210,30,BOX OF VINTAGE ALPHABET BLOCKS,#sku_17,804.69,16.18
211,30,AMETHYST CHUNKY BEAD BRACELET W STR,#sku_2323,843.4,14.44
212,30,AMAZON FEE,#sku_2213,983.55,33.55
213,30,PURPLE SWEETHEART BRACELET,#sku_494,1082.4,22.47
214,30,CHILDS GARDEN RAKE BLUE,#sku_2207,1125.56,23.85
215,30,VINTAGE LEAF MAGNETIC NOTEPAD,#sku_3646,1186.39,20.33
216,30,HOME SWEET HOME MUG,#sku_1329,1359.93,15.62
217,30,LARGE TORTILLA DESIGN RED BOWL,#sku_2452,1365.35,14.1
218,30,PACK OF 12 BLUE PAISLEY TISSUES ,#sku_182,1425.32,19.96
219,30,ICE CREAM DESIGN GARDEN PARASOL,#sku_2973,1505.81,2.36
220,30,4 PEAR BOTANICAL DINNER CANDLES,#sku_1959,1617.95,38.79
221,30,printing smudges/thrown away,#sku_3558,1715.0,16.62
222,30,GIFT BAG PSYCHEDELIC APPLES,#sku_1531,1996.33,24.93
223,30,TEA TIME CAKE STAND IN GIFT BOX,#sku_2600,19269.98,18.42
224,30,ANT COPPER PINK BOUDICCA BRACELET,#sku_2189,33042.66,14.57
225,30,ROMANTIC IMAGES SCRAP BOOK SET,#sku_2504,118.89,12.56
226,30,PORCELAIN BUTTERFLY OIL BURNER,#sku_983,198.78,1.9
227,30,PAPERWEIGHT SAVE THE PLANET,#sku_2000,263.55,2.27
228,30,HOUSE SHAPE PENCIL SHARPENER,#sku_2223,353.96,18.02
229,30,RETROSPOT LAMP,#sku_196,375.98,42.29
230,30,JAM MAKING SET WITH JARS,#sku_22,493.73,21.33
231,30,DOORMAT NEW ENGLAND,#sku_21,510.02,43.07
232,30,SET OF 3 COLOURED  FLYING DUCKS,#sku_122,616.99,30.47
233,30,HEARTS GIFT TAPE,#sku_789,619.36,19.81
234,30,SET OF 6 HALLOWEEN GHOST T-LIGHTS,#sku_900,682.45,21.19
235,30,CARD CHRISTMAS VILLAGE,#sku_872,751.29,29.42
236,30,LOLITA  DESIGN  COTTON TOTE BAG,#sku_767,1029.3,15.49
237,30,BLUE DINER WALL CLOCK,#sku_161,1047.09,35.13
238,30,METAL 4 HOOK HANGER FRENCH CHATEAU,#sku_638,1089.5,26.11
239,30,PINK ROSEBUD PEARL BRACELET,#sku_2536,1159.59,21.19
240,30,CABIN BAG VINTAGE PAISLEY,#sku_1233,1179.17,48.2
241,30,GREEN GLASS TASSLE BAG CHARM,#sku_2185,1436.42,18.71
242,30,WHITE HYDRANGEA ART FLOWER,#sku_2964,1610.59,28.19
243,30,VINTAGE UNION JACK DOORSTOP,#sku_1332,1702.99,8.65
244,30,DOLLY GIRL LUNCH BOX,#sku_365,2116.59,15.78
245,30,PINK/WHITE CHRISTMAS TREE 60CM,#sku_885,2141.08,30.65
246,30,BEADED CRYSTAL HEART PINK SMALL,#sku_927,2190.48,27.0
247,30,TRAVEL CARD WALLET SUKI,#sku_3021,2305.3,16.72
248,30,HANGING CHICK  YELLOW DECORATION,#sku_1474,2732.7,21.86
249,30,ENAMEL WASH BOWL CREAM,#sku_1494,3240.89,13.56
250,30,3D HEARTS  HONEYCOMB PAPER GARLAND,#sku_1176,3830.12,2.12
251,30,WOODEN STAR CHRISTMAS SCANDINAVIAN,#sku_1119,3744.31,20.2
252,30,BLUE PAISLEY SKETCHBOOK,#sku_1166,2283.89,28.3
253,30,MULTICOLOUR POLKADOT PLATE,#sku_3320,1864.79,41.83
254,30,"KEY FOB , SHED",#sku_1569,1617.35,16.0
255,30,LOCAL CAFE MUG,#sku_820,1575.78,7.4
256,30,MOROCCAN TEA GLASS,#sku_1612,1517.48,29.52
257,30,BLUE HAPPY BIRTHDAY BUNTING,#sku_1266,1483.55,32.6
258,30,BLUE BREAKFAST CUP AND SAUCER ,#sku_2398,1333.5,24.68
259,30,SMALL HANGING IVORY/RED WOOD BIRD,#sku_753,1281.4,24.92
260,30,DROP DIAMANTE EARRINGS GREEN,#sku_1314,1190.35,66.52
261,30,RIBBON REEL MAKING SNOWMEN ,#sku_325,1059.99,25.32
262,30,COLUMBIAN CANDLE ROUND,#sku_1795,1021.68,16.7
263,30,VINTAGE RED KITCHEN CABINET,#sku_1589,972.92,27.05
264,30,ANT SILVER PURPLE BOUDICCA RING,#sku_1842,914.4,30.2
265,30,BLACK ORANGE SQUEEZER,#sku_597,894.7,12.66
266,30,"LETTER ""V"" BLING KEY RING",#sku_1139,753.72,-12.55
267,30,PINK RETRO BIG FLOWER BAG,#sku_2854,579.91,27.39
268,30,"GREETING CARD,SQUARE, DOUGHNUTS",#sku_2715,531.63,43.58
269,30,RED HANGING HEART T-LIGHT HOLDER,#sku_59,513.37,20.08
270,30,LIPSTICK PEN RED,#sku_842,470.77,8.69
271,30,OPULENT VELVET SET/3 CANDLES,#sku_2596,436.23,11.77
272,30,12 PENCILS TALL TUBE POSY,#sku_1481,430.31,31.85
273,30,SOFT PINK ROSE TOWEL ,#sku_963,417.61,24.91
274,30,LILAC GAUZE BUTTERFLY LAMPSHADE,#sku_2996,410.58,17.89
275,30,COLOUR GLASS T-LIGHT HOLDER HANGING,#sku_124,379.92,12.7
276,30,NECKLACE+BRACELET PINK BUTTERFLY,#sku_2972,346.8,9.01
277,30,FLAG OF ST GEORGE CAR FLAG,#sku_3310,248.5,13.02
278,30,CHRISTMAS CRAFT WHITE FAIRY ,#sku_461,29.1,1.84
279,30,GROW YOUR OWN BASIL IN ENAMEL MUG,#sku_248,0.0,2.11
280,30,ZINC  HEART T-LIGHT HOLDER,#sku_3420,-343.62,11.18
281,30,ZINC FOLKART SLEIGH BELLS,#sku_1776,11650.63,23.79
282,30,16 PC CUTLERY SET PANTRY DESIGN,#sku_3451,9309.52,14.43
283,30,CHARLIE & LOLA WASTEPAPER BIN FLORA,#sku_75,7326.01,19.02
284,30,GARLAND WOODEN HAPPY EASTER,#sku_587,7073.46,27.11
285,30,NEWSPAPER STAND,#sku_1094,5379.35,10.61
286,30,ORGANISER WOOD ANTIQUE WHITE ,#sku_138,2570.86,1.73
287,30,FRENCH GARDEN SIGN BLUE METAL,#sku_1239,1669.02,20.07
288,30,WHITE LOVEBIRD LANTERN,#sku_130,1549.41,49.62
289,30,GIRLS VINTAGE TIN SEASIDE BUCKET,#sku_443,1355.9,9.42
290,30,NEW BAROQUE B'FLY NECKLACE MONTANA,#sku_2749,1245.92,27.48
291,30,GOLD COSMETICS BAG WITH BUTTERFLY,#sku_2563,947.95,12.25
292,30,3 HOOK HANGER MAGIC GARDEN,#sku_643,743.99,20.98
293,30,FRIDGE MAGNETS LES ENFANTS ASSORTED,#sku_152,696.55,16.93
294,30,SET OF 6 SPICE TINS PANTRY DESIGN,#sku_2550,629.94,15.09
295,30,TUB 24 PINK FLOWER PEGS,#sku_1597,520.71,14.54
296,30,BLUE POLKADOT LUGGAGE TAG ,#sku_1787,482.39,45.59
297,30,"LETTER ""L"" BLING KEY RING",#sku_1711,459.46,25.1
298,30,CLAM SHELL LARGE,#sku_1509,398.52,20.23
299,30,POLKA DOT RAFFIA FOOD COVER,#sku_741,359.33,19.42
300,30,FOUR HOOK  WHITE LOVEBIRDS,#sku_1060,289.85,24.42
301,30,"HOOK, 1 HANGER ,MAGIC GARDEN",#sku_1044,280.18,23.52
302,30,HANGING BAUBLE T-LIGHT HOLDER LARGE,#sku_1506,209.84,36.92
303,30,FRENCH BLUE METAL DOOR SIGN No,#sku_1062,161.26,18.39
304,30,HEART FILIGREE DOVE  SMALL,#sku_464,114.8,13.26
305,30,BLUE VICTORIAN FABRIC OVAL BOX,#sku_882,87.61,25.56
306,30,PINK/PURPLE RETRO RADIO,#sku_916,310.7,20.49
307,30,PACK OF 6 PANNETONE GIFT BOXES,#sku_650,299.18,28.2
308,30,KEY CABINET MA CAMPAGNE,#sku_1587,1109.76,27.89
309,30,PINK FLOWER CROCHET FOOD COVER,#sku_1483,1165.07,13.04
310,30,FRENCH WC SIGN BLUE METAL,#sku_479,1229.57,16.26
311,30,CLAM SHELL SMALL ,#sku_1508,1283.18,24.01
312,30,RETROSPOT CHILDRENS APRON,#sku_465,1591.36,33.66
313,30,12 EGG HOUSE PAINTED WOOD,#sku_2016,2433.34,19.2
314,30,TOOL BOX SOFT TOY ,#sku_774,2549.6,18.77
315,30,SILVER/M.O.P PENDANT ORBIT NECKLACE,#sku_2945,2674.26,21.45
316,30,FRENCH BLUE METAL DOOR SIGN 9,#sku_1911,3026.06,25.58
317,30,WOODEN TREE CHRISTMAS SCANDINAVIAN,#sku_1097,4847.25,15.89
318,30,CERAMIC BIRDHOUSE CRESTED TIT SMALL,#sku_1187,5339.2,16.68
319,30,ROTATING LEAVES T-LIGHT HOLDER,#sku_437,5504.7,1.95
320,30,PHOTO FRAME CORNICE,#sku_225,10397.14,23.53
321,30,CANDY SPOT CUSHION COVER,#sku_2177,94.79,27.14
322,30,NAMASTE SWAGAT INCENSE,#sku_457,165.52,19.75
323,30,SET OF 16 VINTAGE ROSE CUTLERY,#sku_1936,166.25,4.26
324,30,CREAM SWEETHEART EGG HOLDER,#sku_603,3307.93,15.83
325,30,TRADITIONAL WOODEN CATCH CUP GAME ,#sku_439,3317.57,34.05
326,30,CITRUS GARLAND FELT FLOWERS ,#sku_2807,4816.19,18.33
327,30,RED RETROSPOT PUDDING BOWL,#sku_1186,7997.87,23.32
328,30,SET OF 6 CAKE CHOPSTICKS,#sku_1517,25.92,25.77
329,30,DOORMAT FAIRY CAKE,#sku_214,35.29,30.28
330,30,FROG SOCK PUPPET,#sku_1521,100.72,16.48
331,30,ALARM CLOCK BAKELIKE RED ,#sku_28,144.67,2.33
332,30,FRENCH BLUE METAL DOOR SIGN 0,#sku_2102,199.44,17.1
333,30,BLACK+WHITE NECKLACE W TASSEL,#sku_1478,316.13,24.9
334,30,PINK CANDYSTUFT ARTIFICIAL FLOWER,#sku_2708,338.8,11.92
335,30,TOAST ITS - HAPPY BIRTHDAY,#sku_592,375.47,29.94
336,30,LUNCH BAG RED RETROSPOT,#sku_67,403.8,25.29
337,30,FOLKART HEART NAPKIN RINGS,#sku_1258,424.04,56.57
338,30,6 CHOCOLATE LOVE HEART T-LIGHTS,#sku_1125,477.82,42.82
339,30,PIGGY BANK RETROSPOT ,#sku_89,560.77,17.74
340,30,"NURSERY A,B,C PAINTED LETTERS",#sku_1090,569.99,14.82
341,30,ORIGAMI OPIUM INCENSE/CANDLE SET ,#sku_980,656.33,28.79
342,30,SQUARE CHERRY BLOSSOM CABINET,#sku_2202,658.37,11.48
343,30,BUTTERFLY HAIR BAND,#sku_2391,676.29,29.41
344,30,ENAMEL FIRE BUCKET CREAM,#sku_134,712.54,26.74
345,30,ASSTD MULTICOLOUR CIRCLES MUG,#sku_1988,832.5,19.32
346,30,KNEELING MAT HOUSEWORK  DESIGN,#sku_3429,1328.7,58.46
347,30,CREAM DELPHINIUM ARTIFICIAL FLOWER,#sku_2704,1363.01,11.21
348,30,DOLLY MIXTURE CHILDREN'S UMBRELLA,#sku_1716,1509.44,10.91
349,30,RED METAL BEACH SPADE ,#sku_441,1653.61,38.66
